127.0.0.1 - - [17/Apr/2018:07:55:01 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [17/Apr/2018:07:55:50 -0300] "GET /casadocodigo/produtos HTTP/1.1" 200 10878
0:0:0:0:0:0:0:1 - - [17/Apr/2018:07:55:52 -0300] "GET /casadocodigo/resources/css;jsessionid=B1DF167991D41685CCDDF36947E2FAB2/bootstrap-theme.min.css HTTP/1.1" 200 23409
0:0:0:0:0:0:0:1 - - [17/Apr/2018:07:55:52 -0300] "GET /casadocodigo/resources/css;jsessionid=B1DF167991D41685CCDDF36947E2FAB2/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [17/Apr/2018:07:55:52 -0300] "GET /casadocodigo/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:07:55:53 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [17/Apr/2018:07:57:14 -0300] "GET /casadocodigo/produtos HTTP/1.1" 200 10804
0:0:0:0:0:0:0:1 - - [17/Apr/2018:07:57:14 -0300] "GET /casadocodigo/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:07:57:14 -0300] "GET /casadocodigo/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:07:57:14 -0300] "GET /casadocodigo/resources/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:07:58:18 -0300] "GET /casadocodigo/produtos HTTP/1.1" 200 10805
0:0:0:0:0:0:0:1 - - [17/Apr/2018:07:58:19 -0300] "GET /casadocodigo/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:07:58:19 -0300] "GET /casadocodigo/resources/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:07:58:19 -0300] "GET /casadocodigo/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:07:58:24 -0300] "GET /casadocodigo/produtos HTTP/1.1" 200 10805
0:0:0:0:0:0:0:1 - - [17/Apr/2018:07:58:24 -0300] "GET /casadocodigo/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:07:58:24 -0300] "GET /casadocodigo/resources/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:07:58:24 -0300] "GET /casadocodigo/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:07:59:18 -0300] "GET /casadocodigo/produtos HTTP/1.1" 200 10806
0:0:0:0:0:0:0:1 - - [17/Apr/2018:07:59:18 -0300] "GET /casadocodigo/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:07:59:18 -0300] "GET /casadocodigo/resources/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:07:59:18 -0300] "GET /casadocodigo/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:07:59:38 -0300] "GET /casadocodigo/produtos HTTP/1.1" 200 10805
0:0:0:0:0:0:0:1 - - [17/Apr/2018:07:59:38 -0300] "GET /casadocodigo/resources/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:07:59:38 -0300] "GET /casadocodigo/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:07:59:39 -0300] "GET /casadocodigo/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:08:01:50 -0300] "GET /casadocodigo/produtos HTTP/1.1" 200 10831
0:0:0:0:0:0:0:1 - - [17/Apr/2018:08:01:51 -0300] "GET /casadocodigo/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:08:01:51 -0300] "GET /casadocodigo/resources/css/bootstrap-theme.min.css HTTP/1.1" 304 -
