127.0.0.1 - - [23/Jul/2018:07:51:54 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [23/Jul/2018:07:57:05 -0300] "GET /estoque/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jul/2018:07:57:10 -0300] "GET /estoque/login HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [23/Jul/2018:07:57:10 -0300] "GET /estoque/resources/css/bootstrap-theme.min.css HTTP/1.1" 200 23409
0:0:0:0:0:0:0:1 - - [23/Jul/2018:07:57:10 -0300] "GET /estoque/resources/css/bootstrap.min.css HTTP/1.1" 200 138609
0:0:0:0:0:0:0:1 - - [23/Jul/2018:07:57:11 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Jul/2018:07:57:30 -0300] "POST /estoque/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jul/2018:07:57:31 -0300] "GET /estoque/ HTTP/1.1" 200 1517
0:0:0:0:0:0:0:1 - - [23/Jul/2018:07:57:31 -0300] "GET /estoque/resources/teste/script.js HTTP/1.1" 200 2050
0:0:0:0:0:0:0:1 - - [23/Jul/2018:07:57:31 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [23/Jul/2018:07:57:31 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [23/Jul/2018:07:58:04 -0300] "GET /estoque/listar HTTP/1.1" 200 4190
0:0:0:0:0:0:0:1 - - [23/Jul/2018:07:58:05 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [23/Jul/2018:07:58:05 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:00:22 -0300] "GET /estoque/listar HTTP/1.1" 200 4192
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:00:22 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:00:22 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:01:04 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:01:04 -0300] "GET /estoque/listar HTTP/1.1" 200 4190
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:01:04 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:02:04 -0300] "GET /estoque/listar HTTP/1.1" 200 4190
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:02:04 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:02:05 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:06:38 -0300] "GET /estoque/listar HTTP/1.1" 200 4365
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:06:38 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:06:38 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:07:07 -0300] "GET /estoque/ HTTP/1.1" 200 1517
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:07:07 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:07:07 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:07:07 -0300] "GET /estoque/resources/teste/script.js HTTP/1.1" 200 2050
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:07:30 -0300] "GET /estoque/listar HTTP/1.1" 200 4365
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:07:31 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:07:31 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:12:23 -0300] "GET /estoque/listar HTTP/1.1" 200 4304
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:12:23 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:12:23 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:14:51 -0300] "GET /estoque/listar HTTP/1.1" 200 4118
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:14:51 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:14:51 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:24:19 -0300] "GET /estoque/listar HTTP/1.1" 200 4107
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:24:19 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:24:20 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:43:47 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:43:47 -0300] "GET /estoque/listar HTTP/1.1" 200 4434
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:43:47 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:47:09 -0300] "GET /estoque/listar HTTP/1.1" 200 4435
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:47:09 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:47:09 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 2469
